index,start_sec,end_sec,text
1,0,5,"I.S.O PRO: gestão de materiais num fluxo só — do planejamento ao comprovante, no escritório e na obra."
2,5,9,"Acesso por perfil e um painel que mostra o pulso da operação: armazenamento, nuvem e o que precisa de atenção."
3,9,14,"Cadastros que sustentam tudo: fornecedores, equipas e o catálogo de materiais — base para NF, etiquetas e baixa."
4,14,19,"No planejamento, cada documento leva a demanda até à execução. Nos recebimentos, a entrada amarra NF, romaneio e stock."
5,19,23,"Conferência valida antes de libertar material. Etiquetas ligam o físico ao mesmo código que o campo vai ler."
6,23,29,"Atendimento com rasto e recibo para auditoria. Inventário — também no mobile — fecha a posição; equipamentos apoiam o património da obra."
7,29,34,"Qualidade integrada: RIR e RNC, do registo ao relatório para arquivo e fornecedor."
8,34,39,"Relatórios gerenciais e relatório fotográfico: indicadores no desktop e evidência por NF quando a obra precisa provar."
9,39,45,"No desktop autorizas os telemóveis; no Campo, o app usa o mesmo snapshot — conferência, atendimento, documentos, inventário."
10,45,50,"Utilizadores, licenças e configurações fecham a governança: quem faz o quê, onde está instalado e como se apresenta o sistema."
11,50,53,"E ainda: vários temas visuais — escolhe o que a tua equipa prefere para operar."
12,53,55.5,"I.S.O PRO no Campo — começa no desktop, desempenha na obra."
